Days since 3/3/20	ConfirmedCovidCases
1	1
2	1
3	4
4	7
5	5
6	1
7	2
8	3
9	10
10	9
11	27
12	20
13	39
14	40
15	54
16	69
17	74
18	191
19	126
20	102
21	121
22	219
23	204
24	235
25	255
26	302
27	294
28	200
29	295
30	325
31	212
32	402
33	424
34	331
35	390
36	748
37	365
38	464
39	705
40	696
41	553
42	430
43	527
44	548
45	657
46	629
47	597
48	630
49	445
50	401
51	388
52	629
53	936
54	577
55	377
56	701
57	386
58	229
59	376
60	359
61	221
62	343
63	330
64	266
65	211
66	265
67	137
68	156
69	219
70	236
71	139
72	107
73	159
74	426
75	129
76	92
77	64
78	88
79	51
80	64
81	76
82	115
83	76
84	57
85	59
86	37
87	73
88	46
89	39
90	59
91	66
92	77
93	10
94	47
95	38
96	28
97	24
98	25
99	9
100	9
101	19
102	8
103	13
104	46
105	8
106	18
107	14
108	8
109	16
110	13
111	22
112	6
113	4
114	10
115	5
116	11
117	11
118	23
119	3
120	24
121	11
122	6
123	15
124	9
125	11
126	18
127	4
128	24
129	11
130	22
131	25
132	23
133	17
134	11
135	32
136	14
137	21
138	34
139	21
140	9
141	6
142	36
143	17
144	7
145	20
146	24
147	12
148	11
149	40
150	14
151	85
152	38
153	45
154	53
155	46
156	44
157	48
158	69
159	98
160	174
161	68
162	57
163	34
164	40
165	92
166	67
167	200
168	66
169	56
170	190
171	54
172	136
173	80
174	156
175	61
176	147
177	92
178	164
179	93
180	128
181	141
182	42
183	53
184	217
185	89
186	95
187	98
188	231
189	138
190	102
191	307
192	84
193	196
194	211
195	159
196	255
197	208
198	357
199	254
200	240
201	253
202	274
203	396
204	188
205	334
206	234
207	324
208	326
209	248
210	430
211	390
212	363
213	429
214	442
215	470
216	613
217	364
218	518
219	432
220	611
221	506
222	617
223	1012
224	817
225	825
226	811
227	1095
228	1205
229	1000
230	1276
231	1283
232	1031
233	1269
234	1167
235	1066
236	777
237	859
238	1025
239	939
240	720
241	675
242	866
243	772
244	416
245	552
246	767
247	322
248	444
249	591
250	449
251	335
252	542
253	270
254	270
255	362
256	395
257	482
258	456
259	378
260	456
261	366
262	379
263	429
264	330
265	344
266	318
267	252
268	226
269	269
270	335
271	206
272	243
273	299
274	306
275	269
276	270
277	183
278	265
279	456
280	301
281	242
282	215
283	227
284	310
285	313
286	247
287	429
288	264
289	329
290	431
291	484
292	582
293	527
294	764
295	727
296	970
297	938
298	922
299	1025
300	1296
301	744
302	765
303	1546
304	1720
305	1620
306	1754
307	3394
308	4962
309	6110
310	5325
311	7836
312	6521
313	8248
314	4842
315	6888
316	4929
317	3086
318	3569
319	3955
320	3498
321	3231
322	2944
323	2121
324	2001
325	2488
326	2608
327	2371
328	1910
329	1378
330	1372
331	928
332	1335
333	1466
334	1254
335	1414
336	1247
337	1062
338	879
339	1013
340	1318
341	1047
342	827
343	1024
344	829
345	556
346	1006
347	867
348	921
349	1078
350	788
351	821
352	744
353	650
354	901
355	763
356	988
357	679
358	686
359	575
360	574
361	613
362	776
363	738
364	612
365	687
366	369
367	566
368	462
369	522
370	539
371	525
372	437
373	311
374	631
375	592
376	646
377	543
378	384
379	575
380	349
381	557
382	582
383	507
384	525
385	769
386	520
387	371
388	683
389	606
390	584
391	624
392	604
393	539
394	368
395	411
396	761
397	591
398	511
399	457
400	320
401	443
402	423
403	400
404	473
405	455
406	303
407	394
408	358
409	431
410	309
411	420
412	420
413	269
414	403
415	390
416	401
417	617
418	434
419	461
420	429
421	437
422	426
423	371
424	474
425	545
426	569
427	402
428	453
429	383
430	418
431	393
432	434
433	408
434	514
435	381
436	379
437	448
438	456
439	425
440	461
441	375
442	379
443	365
444	526
445	470
446	533
447	384
448	447
449	349
450	353
451	445
452	432
453	461
454	456
455	367
456	370
457	337
458	407
459	465
460	529
461	416
462	313
463	377
464	271
465	259
466	398
467	319
468	431
469	315
470	242
471	283
472	329
473	373
474	313
475	393
476	288
477	284
478	294
479	348
480	304
481	380
482	443
483	340
484	305
485	351
486	452
487	448
488	512
489	448
490	562
491	365
492	397
493	581
494	534
495	631
496	581
497	576
498	600
499	589
500	783
501	994
502	1173
503	1377
504	1179
505	1071
506	1110
507	1378
508	1189
509	1386
510	1345
511	1126
512	1345
513	1120
514	1408
515	1361
516	1501
517	1427
518	1098
519	1352
520	1015
521	1314
522	1491
523	1782
524	1828
525	1837
526	1522
527	1508
528	1819
529	1903
530	1978
531	2074
532	1758
533	1558
534	1496
535	1861
536	1818
537	2098
538	2125
539	1688
540	1592
541	1571
542	2051
543	1866
544	1875
545	1997
546	1706
547	1293
548	1382
549	1789
550	1751
551	1414
552	1703
553	1180
554	1144
555	1470
556	1545
557	1292
558	1620
559	1466
560	1346
561	1394
562	1181
563	1185
564	1413
565	1392
566	1456
567	1224
568	1154
569	1423
570	1432
571	1355
572	1163
573	1335
574	1459
575	1049
576	1499
